,Unnamed: 0,median_income,housing_units,occupied_housing_units,total_pop,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,two_or_more,male,female,median_age,under_18,above_18,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,PCT0050021,PCT0050022,state,zipcode,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
0,0.0,46146.0,13246.0,11418.0,39507.0,20634.0,3754.0,731.0,971.0,174.0,11580.0,1663.0,19844.0,19663.0,26.7,13608.0,25745.0,128.0,1.0,0.0,0.0,23.0,53.0,385.0,2.0,2.0,43.0,36.0,45.0,1.0,3.0,7.0,2.0,3.0,8.0,166.0,5.0,30.0,4.0,85323.0,85323,------,441,186,78,76,52,28,19,2,0,0
1,1.0,27557.0,5916.0,4811.0,14040.0,7374.0,1880.0,440.0,313.0,17.0,3479.0,537.0,7490.0,6550.0,35.0,3652.0,8906.0,32.0,1.0,0.0,0.0,0.0,158.0,30.0,0.0,2.0,11.0,10.0,0.0,0.0,4.0,1.0,0.0,5.0,1.0,34.0,0.0,20.0,4.0,85007.0,85007,------,420,200,77,75,43,12,10,2,1,0
2,2.0,35571.0,16046.0,13573.0,53037.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,1962.0,26504.0,26533.0,25.0,20177.0,32843.0,73.0,0.0,0.0,0.0,0.0,31.0,163.0,0.0,0.0,24.0,26.0,6.0,0.0,0.0,0.0,0.0,3.0,15.0,82.0,0.0,3.0,4.0,85033.0,85033,------,391,163,96,62,46,15,8,1,0,0
3,3.0,51483.0,13690.0,12451.0,31274.0,23674.0,1211.0,507.0,1051.0,58.0,3705.0,1068.0,15535.0,15739.0,34.8,7731.0,23472.0,323.0,3.0,0.0,10.0,11.0,159.0,261.0,1.0,10.0,57.0,47.0,4.0,0.0,2.0,10.0,7.0,1.0,13.0,90.0,1.0,26.0,4.0,85023.0,85023,------,582,338,88,62,57,13,16,4,4,0
4,4.0,129375.0,8211.0,6935.0,17047.0,15671.0,183.0,37.0,685.0,11.0,147.0,313.0,8347.0,8700.0,50.2,3566.0,13405.0,284.0,0.0,0.0,0.0,0.0,166.0,46.0,0.0,3.0,25.0,56.0,0.0,0.0,0.0,32.0,12.0,7.0,6.0,26.0,0.0,9.0,4.0,85253.0,85253,------,831,552,106,75,63,20,12,2,1,0
5,5.0,53552.0,13896.0,12220.0,26755.0,21929.0,602.0,680.0,582.0,42.0,2090.0,830.0,13307.0,13448.0,40.1,4529.0,21987.0,78.0,0.0,0.0,6.0,18.0,135.0,117.0,0.0,11.0,40.0,49.0,3.0,0.0,0.0,1.0,0.0,7.0,35.0,57.0,2.0,6.0,4.0,85257.0,85257,------,559,322,92,61,46,16,15,4,2,1
6,6.0,64315.0,4328.0,3720.0,10822.0,6797.0,805.0,215.0,598.0,14.0,1848.0,545.0,5400.0,5422.0,29.6,3033.0,7767.0,28.0,0.0,0.0,0.0,18.0,32.0,139.0,0.0,1.0,17.0,41.0,4.0,0.0,0.0,9.0,0.0,0.0,21.0,259.0,0.0,12.0,4.0,85305.0,85305,------,282,88,69,57,39,13,10,5,1,0
7,7.0,77892.0,15233.0,12022.0,23342.0,21753.0,261.0,81.0,651.0,18.0,176.0,402.0,10919.0,12423.0,53.3,3251.0,20064.0,202.0,5.0,0.0,1.0,0.0,132.0,66.0,0.0,5.0,80.0,76.0,3.0,0.0,0.0,19.0,5.0,12.0,5.0,18.0,0.0,8.0,4.0,85258.0,85258,------,1601,949,262,162,143,46,27,6,5,1
8,8.0,46433.0,22611.0,20016.0,60885.0,41824.0,1691.0,1224.0,763.0,359.0,12550.0,2474.0,30837.0,30048.0,29.4,18516.0,42193.0,43.0,12.0,0.0,1.0,7.0,96.0,209.0,3.0,2.0,78.0,41.0,6.0,0.0,0.0,20.0,1.0,5.0,28.0,165.0,0.0,19.0,4.0,85204.0,85204,------,1058,552,183,135,124,46,12,6,0,0
9,9.0,70004.0,15361.0,13341.0,41115.0,28725.0,2794.0,479.0,1188.0,76.0,6013.0,1840.0,20549.0,20566.0,31.7,12895.0,28056.0,161.0,0.0,0.0,1.0,10.0,121.0,451.0,1.0,4.0,61.0,40.0,0.0,0.0,0.0,20.0,0.0,2.0,26.0,226.0,2.0,28.0,4.0,85338.0,85338,------,686,329,126,82,86,33,22,4,3,1
