,zipcode,business_id,Mexican,American (Traditional),Pizza,American (New),Burgers,Italian,Chinese,Salad,Sports Bars,Seafood,Japanese,Barbeque,Mediterranean,Sushi Bars,Asian Fusion,Steakhouses,Greek,Tex-Mex,Thai,Vietnamese,Indian,Middle Eastern,Southern,Latin American,Hawaiian,Korean,French,Caribbean,Pakistani,Ramen,New Mexican Cuisine,Modern European,Spanish,African,Cantonese,Persian/Iranian,Filipino,Cuban,Mongolian,Lebanese,Polish,Taiwanese,German,Turkish,Ethiopian,Brazilian,Afghan,zipcode,total_pop,occupied_housing_units,white_pop,afam_pop,amindian_pop,hawaiian_pop,other_race,male,female,median_income,median_age,under_18,above_18,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,walkscore
1,85323,8-NRKkPY1UiFXW20WXKiXg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85323,39507.0,11418.0,20634.0,3754.0,731.0,174.0,11580.0,19844.0,19663.0,46146.0,26.7,13608.0,25745.0,128.0,1.0,0.0,0.0,23.0,53.0,385.0,2.0,2.0,43.0,36.0,45.0,1.0,3.0,7.0,2.0,3.0,8.0,166.0,43.1219512195122
2,85007,_c3ixq9jYKxhLUB0czi0ug,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85007,14040.0,4811.0,7374.0,1880.0,440.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,32.0,1.0,0.0,0.0,0.0,158.0,30.0,0.0,2.0,11.0,10.0,0.0,0.0,4.0,1.0,0.0,5.0,1.0,34.0,60.0
3,85033,3ByGQOVgds2YEu6kzl-XEQ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,73.0,0.0,0.0,0.0,0.0,31.0,163.0,0.0,0.0,24.0,26.0,6.0,0.0,0.0,0.0,0.0,3.0,15.0,82.0,43.0
4,85033,CeuTRtwsq6w5rztGOyNMPg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,73.0,0.0,0.0,0.0,0.0,31.0,163.0,0.0,0.0,24.0,26.0,6.0,0.0,0.0,0.0,0.0,3.0,15.0,82.0,43.0
5,85033,AcGRSWCpb7YB95MTsHlGEw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,73.0,0.0,0.0,0.0,0.0,31.0,163.0,0.0,0.0,24.0,26.0,6.0,0.0,0.0,0.0,0.0,3.0,15.0,82.0,43.0
6,85023,cKRMmytHxaSt8F0SMEzKqg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85023,31274.0,12451.0,23674.0,1211.0,507.0,58.0,3705.0,15535.0,15739.0,51483.0,34.8,7731.0,23472.0,323.0,3.0,0.0,10.0,11.0,159.0,261.0,1.0,10.0,57.0,47.0,4.0,0.0,2.0,10.0,7.0,1.0,13.0,90.0,36.0
7,85253,F73T-N5lRNL2Gcpg0Q4KKw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85253,17047.0,6935.0,15671.0,183.0,37.0,11.0,147.0,8347.0,8700.0,129375.0,50.2,3566.0,13405.0,284.0,0.0,0.0,0.0,0.0,166.0,46.0,0.0,3.0,25.0,56.0,0.0,0.0,0.0,32.0,12.0,7.0,6.0,26.0,43.1219512195122
8,85257,SUhBnQdG8MWkmjM6wsnVdw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85257,26755.0,12220.0,21929.0,602.0,680.0,42.0,2090.0,13307.0,13448.0,53552.0,40.1,4529.0,21987.0,78.0,0.0,0.0,6.0,18.0,135.0,117.0,0.0,11.0,40.0,49.0,3.0,0.0,0.0,1.0,0.0,7.0,35.0,57.0,43.1219512195122
9,85305,RcxVK_OEXv3MccIo0nYMZg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85305,10822.0,3720.0,6797.0,805.0,215.0,14.0,1848.0,5400.0,5422.0,64315.0,29.6,3033.0,7767.0,28.0,0.0,0.0,0.0,18.0,32.0,139.0,0.0,1.0,17.0,41.0,4.0,0.0,0.0,9.0,0.0,0.0,21.0,259.0,43.1219512195122
10,85305,WUA2Rhlb43HBw9sT2R0wmg,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85305,10822.0,3720.0,6797.0,805.0,215.0,14.0,1848.0,5400.0,5422.0,64315.0,29.6,3033.0,7767.0,28.0,0.0,0.0,0.0,18.0,32.0,139.0,0.0,1.0,17.0,41.0,4.0,0.0,0.0,9.0,0.0,0.0,21.0,259.0,43.1219512195122
