,zipcode,business_id,Mexican,American (Traditional),Pizza,American (New),Burgers,Italian,Chinese,Salad,Sports Bars,Seafood,Japanese,Barbeque,Mediterranean,Sushi Bars,Asian Fusion,Steakhouses,Greek,Tex-Mex,Thai,Vietnamese,Indian,Middle Eastern,Southern,Latin American,Hawaiian,Korean,French,Caribbean,Pakistani,Ramen,New Mexican Cuisine,Modern European,Spanish,African,Cantonese,Persian/Iranian,Filipino,Cuban,Mongolian,Lebanese,Polish,Taiwanese,German,Turkish,Ethiopian,Brazilian,Afghan,zipcode,total_pop,occupied_housing_units,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,male,female,median_income,median_age,under_18,above_18,walkscore,ffall,stars,review_count
0,85323,8-NRKkPY1UiFXW20WXKiXg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85323,39507.0,11418.0,20634.0,3754.0,731.0,908.0,174.0,11580.0,19844.0,19663.0,46146.0,26.7,13608.0,25745.0,43.121951219512205,129,2.5,40
1,85007,_c3ixq9jYKxhLUB0czi0ug,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85007,14040.0,4811.0,7374.0,1880.0,440.0,289.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,60.0,987,4.0,277
2,85033,3ByGQOVgds2YEu6kzl-XEQ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,423.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0,12,2.5,3
3,85033,CeuTRtwsq6w5rztGOyNMPg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,423.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0,20,2.5,14
4,85033,AcGRSWCpb7YB95MTsHlGEw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,423.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0,3,2.0,4
5,85023,cKRMmytHxaSt8F0SMEzKqg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85023,31274.0,12451.0,23674.0,1211.0,507.0,1009.0,58.0,3705.0,15535.0,15739.0,51483.0,34.8,7731.0,23472.0,36.0,840,3.5,230
6,85253,F73T-N5lRNL2Gcpg0Q4KKw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85253,17047.0,6935.0,15671.0,183.0,37.0,663.0,11.0,147.0,8347.0,8700.0,129375.0,50.2,3566.0,13405.0,43.121951219512205,222,4.0,234
7,85257,SUhBnQdG8MWkmjM6wsnVdw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85257,26755.0,12220.0,21929.0,602.0,680.0,557.0,42.0,2090.0,13307.0,13448.0,53552.0,40.1,4529.0,21987.0,43.121951219512205,15,3.5,28
8,85305,RcxVK_OEXv3MccIo0nYMZg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85305,10822.0,3720.0,6797.0,805.0,215.0,569.0,14.0,1848.0,5400.0,5422.0,64315.0,29.6,3033.0,7767.0,43.121951219512205,116,3.5,59
9,85305,WUA2Rhlb43HBw9sT2R0wmg,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85305,10822.0,3720.0,6797.0,805.0,215.0,569.0,14.0,1848.0,5400.0,5422.0,64315.0,29.6,3033.0,7767.0,43.121951219512205,283,2.5,94
10,85258,rFeJgbnLxtcdqIpBdhpxtQ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85258,23342.0,12022.0,21753.0,261.0,81.0,629.0,18.0,176.0,10919.0,12423.0,77892.0,53.3,3251.0,20064.0,43.121951219512205,4,4.0,13
11,85305,s2gjJKptpkmwSXYRtfptZQ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85305,10822.0,3720.0,6797.0,805.0,215.0,569.0,14.0,1848.0,5400.0,5422.0,64315.0,29.6,3033.0,7767.0,43.121951219512205,892,3.5,257
12,85204,c3ukNv4GHicrT6K9G2IW3w,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85204,60885.0,20016.0,41824.0,1691.0,1224.0,717.0,359.0,12550.0,30837.0,30048.0,46433.0,29.4,18516.0,42193.0,43.121951219512205,96,4.0,50
13,85338,nGuhjKrZjqvB2xodGo7m7Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85338,41115.0,13341.0,28725.0,2794.0,479.0,1124.0,76.0,6013.0,20549.0,20566.0,70004.0,31.7,12895.0,28056.0,43.121951219512205,126,2.0,54
14,85297,maBe6J_QSeYlAa1YNkAyVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85297,26979.0,8120.0,22068.0,947.0,241.0,1404.0,41.0,1182.0,13463.0,13516.0,96875.0,28.9,10332.0,16630.0,43.121951219512205,167,4.0,147
15,85044,8vA1d9_w4hBjOcrM7mNWFg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85044,37993.0,16978.0,29788.0,2490.0,857.0,1832.0,78.0,1499.0,18647.0,19346.0,70860.0,37.9,7969.0,29958.0,36.0,116,3.5,28
16,85281,CcTvk2-unBwmAZmU3PlKww,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85281,57348.0,22071.0,39671.0,3148.0,1739.0,3883.0,170.0,6243.0,31214.0,26134.0,31921.0,23.5,7139.0,40763.0,43.121951219512205,200,4.0,33
17,85007,sh69ApUyPhAltAMpv5vX3w,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85007,14040.0,4811.0,7374.0,1880.0,440.0,289.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,60.0,86,4.5,117
