zipcode,pop_estimate
85323,44239
85007,13877
85033,61293
85023,35697
85253,18688
85257,31445
85305,13624
85258,27051
85204,67311
85338,57338
85297,34956
85044,40365
85281,56769
85001,0
85032,71799
85331,31168
85383,65378
85224,46894
85018,39351
85306,25293
85282,52001
85286,45167
85022,50775
85210,43229
85028,19944
85250,18125
85395,33059
85296,50163
85302,39907
85048,36299
85382,44341
85207,51412
85259,24533
85008,61196
85051,45670
85202,39917
85255,49900
85212,43776
85024,26203
85283,46915
85260,38677
85003,8870
85029,47094
85351,32527
85340,31938
85251,44382
85215,19383
85019,29155
85006,27738
85201,53613
85284,19453
85034,7118
85085,26581
85020,37306
85303,33844
85295,49649
85013,22195
85225,74870
85308,68761
85256,5894
85304,27871
85233,40217
85353,38693
85203,37891
85226,40519
85326,63689
85254,48536
85054,8293
85262,16907
85266,13864
85073,0
85307,10308
85385,0
85009,48313
85035,57172
85043,33249
85208,39516
85015,45223
85545,309
85381,25798
85004,7824
85361,6278
85064,0
85031,33268
85012,7761
85016,39957
85234,52749
85248,39822
85213,40249
85017,39604
85042,45217
85037,50676
85206,37706
85268,28425
85236,0
85378,9896
85379,47517
85086,43890
85301,67169
85374,44042
85027,39734
85249,49401
85053,30479
85205,45445
85298,38893
85050,30436
85392,40229
85375,32182
85335,33330
85388,30036
85363,6603
85209,44141
85014,28294
85287,0
85339,44486
85377,0
85040,34503
85143,43403
85021,41413
85041,63588
85083,19887
85345,60628
85821,0
85310,19931
85045,8120
85058,0
85394,0
85373,18376
85087,8777
85005,0
85327,0
85318,0
85396,28765
85329,0
85311,0
85355,11948
85324,2092
85264,1275
85142,72832
85010,0
85252,0
85140,43936
85280,0
84295,0
