Zipcode,City
30301,Atlanta
30302,Atlanta
30303,Atlanta
30304,Atlanta
30307,Atlanta
30308,Atlanta
30311,Atlanta
30312,Atlanta
30316,Atlanta
30317,Atlanta
30305,Atlanta
30306,Atlanta
30309,Atlanta
30310,Atlanta
30313,Atlanta
30314,Atlanta
30315,Atlanta
30318,Atlanta
30319,Atlanta
30322,Atlanta
30324,Atlanta
30327,Atlanta
30328,Atlanta
30330,Atlanta
30331,Atlanta
30334,Atlanta
30336,Atlanta
30320,Atlanta
30321,Atlanta
30325,Atlanta
30326,Atlanta
30329,Atlanta
30332,Atlanta
30333,Atlanta
30337,Atlanta
30339,Atlanta
30341,Atlanta
30342,Atlanta
30344,Atlanta
30345,Atlanta
30338,Atlanta
30340,Atlanta
30343,Atlanta
30346,Atlanta
30348,Atlanta
30353,Atlanta
30354,Atlanta
30357,Atlanta
30360,Atlanta
30361,Atlanta
30362,Atlanta
30349,Atlanta
30350,Atlanta
30355,Atlanta
30356,Atlanta
30358,Atlanta
30359,Atlanta
30363,Atlanta
30364,Atlanta
30369,Atlanta
30370,Atlanta
30375,Atlanta
30377,Atlanta
30384,Atlanta
30385,Atlanta
30394,Atlanta
30396,Atlanta
30366,Atlanta
30368,Atlanta
30371,Atlanta
30374,Atlanta
30378,Atlanta
30380,Atlanta
30388,Atlanta
30392,Atlanta
30398,Atlanta
31106,Atlanta
31107,Atlanta
31131,Atlanta
31136,Atlanta
31119,Atlanta
31126,Atlanta
31139,Atlanta
31141,Atlanta
31146,Atlanta
31192,Atlanta
31196,Atlanta
31145,Atlanta
31150,Atlanta
31156,Atlanta
31193,Atlanta
31195,Atlanta
39901,Atlanta
