zipcode,total_pop,occupied_housing_units,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,male,female,median_income,median_age,under_18,above_18,walkscore
85007,14040.0,4811.0,7374.0,1880.0,440.0,313.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,60.0
85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
85023,31274.0,12451.0,23674.0,1211.0,507.0,1051.0,58.0,3705.0,15535.0,15739.0,51483.0,34.8,7731.0,23472.0,36.0
85044,37993.0,16978.0,29788.0,2490.0,857.0,1890.0,78.0,1499.0,18647.0,19346.0,70860.0,37.9,7969.0,29958.0,36.0
85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
85018,36065.0,16763.0,29523.0,1194.0,741.0,721.0,44.0,2739.0,17821.0,18244.0,56653.0,40.2,7651.0,28347.0,52.0
85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
85028,19157.0,8143.0,17627.0,242.0,124.0,402.0,16.0,338.0,9283.0,9874.0,90381.0,46.9,3643.0,15458.0,35.0
85048,33449.0,12613.0,27017.0,1548.0,356.0,2333.0,68.0,900.0,16411.0,17038.0,98382.0,39.1,8940.0,24475.0,43.1219512195122
85008,56145.0,19676.0,30274.0,5360.0,2249.0,894.0,141.0,14909.0,29146.0,26999.0,34677.0,27.5,17187.0,38019.0,51.0
85051,40375.0,14174.0,25849.0,2608.0,1256.0,1545.0,97.0,7371.0,20242.0,20133.0,38864.0,32.9,11299.0,28912.0,50.0
85024,22898.0,9452.0,19856.0,554.0,187.0,813.0,52.0,704.0,11107.0,11791.0,68557.0,34.7,5438.0,17437.0,22.0
85003,9369.0,3900.0,5931.0,1024.0,252.0,114.0,22.0,1696.0,5844.0,3525.0,45615.0,31.7,1474.0,5987.0,73.0
85029,43233.0,16370.0,31121.0,2082.0,1096.0,1086.0,84.0,6160.0,21328.0,21905.0,42224.0,33.2,11210.0,31624.0,41.0
85019,25042.0,6908.0,12788.0,1311.0,648.0,843.0,42.0,8360.0,12608.0,12434.0,30202.0,27.9,8680.0,16342.0,48.0
85006,25742.0,8565.0,13463.0,1305.0,751.0,266.0,35.0,8935.0,13315.0,12427.0,29903.0,29.3,8003.0,17095.0,64.0
85034,5582.0,1629.0,2850.0,636.0,202.0,59.0,3.0,1627.0,3014.0,2568.0,24046.0,31.7,1713.0,3201.0,61.0
85020,32850.0,15114.0,25739.0,1197.0,677.0,697.0,42.0,3480.0,16163.0,16687.0,48257.0,41.2,6686.0,25754.0,52.0
