,total_pop,housing_units,occupied_housing_units,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,two_or_more,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,PCT0050021,PCT0050022,male,female,state,zipcode,median_income,median_age,under_18,above_18,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
0,9369,4910,3900,5931,1024,252,114,22,1696,330,15,0,0,0,0,19,25,0,0,10,8,1,0,0,1,0,2,6,12,0,12,5844,3525,04,85003.0,45615.0,31.7,1474,5987,85003,------,474,265,77,54,53,17,6,1,0,1
1,4965,2804,2195,3265,432,201,132,6,740,189,43,0,0,0,1,16,21,0,1,9,7,0,0,0,1,0,0,1,5,0,22,2646,2319,04,85004.0,34595.0,30.8,538,3258,85004,------,1206,577,204,152,151,56,46,10,7,3
2,25742,10183,8565,13463,1305,751,266,35,8935,987,116,0,0,2,0,34,53,0,0,6,6,8,0,1,0,0,1,7,23,0,6,13315,12427,04,85006.0,29903.0,29.3,8003,17095,85006,------,468,238,85,59,58,11,9,5,2,1
3,14040,5916,4811,7374,1880,440,313,17,3479,537,32,1,0,0,0,158,30,0,2,11,10,0,0,4,1,0,5,1,34,0,20,7490,6550,04,85007.0,27557.0,35,3652,8906,85007,------,420,200,77,75,43,12,10,2,1,0
4,56145,23282,19676,30274,5360,2249,894,141,14909,2318,201,7,0,52,5,173,167,0,13,33,56,18,1,3,23,1,15,13,76,1,20,29146,26999,04,85008.0,34677.0,27.5,17187,38019,85008,------,716,360,128,82,67,37,25,9,6,2
5,52520,14369,12153,24795,2534,1385,249,39,21650,1868,20,0,0,13,1,42,83,0,3,16,14,4,0,0,1,0,1,0,28,0,20,28808,23712,04,85009.0,23302.0,25.6,17094,28366,85009,------,1141,390,225,202,186,85,40,10,3,0
6,6390,3804,3139,5013,364,185,168,5,464,191,44,8,0,0,0,43,20,0,0,8,19,0,0,0,2,2,0,5,12,0,2,3338,3052,04,85012.0,55542.0,41.9,1014,5113,85012,------,994,547,162,108,89,46,28,7,3,4
7,19314,10943,9168,14167,1348,768,607,37,1728,659,160,7,0,4,4,95,138,0,0,32,28,2,0,0,4,1,0,8,86,0,23,9859,9455,04,85013.0,50182.0,38.9,3718,15358,85013,------,602,331,100,83,55,17,14,1,0,1
8,24782,14326,11766,16713,1597,1477,499,34,3476,986,100,1,0,28,2,78,106,0,5,40,33,4,1,0,7,4,3,12,51,0,9,12685,12097,04,85014.0,43682.0,36.2,5299,19202,85014,------,966,546,146,131,79,22,29,8,4,1
9,37644,16495,13420,22310,3153,1893,1962,113,6497,1716,62,10,219,566,1,190,168,0,1,26,29,3,0,75,1,7,3,27,384,2,86,19013,18631,04,85015.0,30661.0,30.5,11365,26089,85015,------,608,314,128,86,52,13,10,3,2,0
